Month,Year,mm/month
Nov,2014,0.2846848
Dec,2014,1.091395
Jan,2015,3.184096
Feb,2015,25.79525
Mar,2015,22.66916
Apr,2015,9.582331
May,2015,4.955014
Jun,2015,1.739774
Jul,2015,1.521775
Aug,2015,0.8445398
Sep,2015,1.963515
Oct,2015,0.9091433
Nov,2015,0.2849096
Dec,2015,1.591422
Jan,2016,3.290833
Feb,2016,34.18186
Mar,2016,16.75576
Apr,2016,9.129311
May,2016,2.985922
Jun,2016,1.272007
Jul,2016,1.293285
Aug,2016,0.8445398
Sep,2016,1.333752
Oct,2016,0.9091433
Nov,2016,0.2846848
Dec,2016,1.067981
Jan,2017,3.45683
Feb,2017,30.6436
Mar,2017,54.49036
Apr,2017,12.08144
May,2017,3.2184
Jun,2017,1.272007
Jul,2017,1.293285
Aug,2017,0.8445398
Sep,2017,2.022877
Oct,2017,0.9543552
Nov,2017,0.2846848
Dec,2017,1.067981
Jan,2018,3.184096
Feb,2018,48.24596
Mar,2018,14.34486
Apr,2018,8.348989
May,2018,2.960306
Jun,2018,1.272007
Jul,2018,1.293285
Aug,2018,0.8445398
Sep,2018,1.234841
Oct,2018,0.9075114
Nov,2018,0.2846848
Dec,2018,1.067981
Jan,2019,3.184096
Feb,2019,29.141
Mar,2019,36.16447
Apr,2019,9.768797
May,2019,3.696452
Jun,2019,1.4622
Jul,2019,1.293285
Aug,2019,0.8445398
Sep,2019,1.234841
Oct,2019,0.9091433
Nov,2019,0.2846848
Dec,2019,1.067981
Jan,2020,3.184096
Feb,2020,26.44972
Mar,2020,14.35909
Apr,2020,13.21573
May,2020,2.985922
Jun,2020,1.346235
Jul,2020,1.293285
Aug,2020,0.9066296
Sep,2020,1.234841
Oct,2020,0.9091433
Nov,2020,0.2846848
Dec,2020,1.140564
Jan,2021,3.184096
Feb,2021,27.78915
Mar,2021,65.28526
Apr,2021,11.11292
May,2021,2.985922
Jun,2021,1.272007
Jul,2021,1.293285
Aug,2021,0.8445398
Sep,2021,1.234841
Oct,2021,0.9091433
Nov,2021,0.2846848
